English Name,Chinese Name,Price
Dermal Facial Fillers,面部皮肤填充剂,650
Dermal Lip Fillers,唇部填充剂,550
Belkyra,Belkyra 注射,800
Sculptra,Sculptra 胶原蛋白刺激剂,900
Radiesse,Radiesse 钙基填充剂,750
Skin Booster,皮肤玻尿酸注射,400
Neurotoxin (Botox/Dysport),神经毒素（肉毒杆菌素/Dysport）,350
PRP Facial Rejuvenation,PRP 面部焕肤,600
Fotona Deep Fractional,Fotona 深层点阵激光,800
M22,M22 多功能平台,500
M22 Stellar,M22 Stellar 强脉冲光,600
PicoWay,PicoWay 皮秒激光,700
PicoSure,PicoSure 皮秒激光,750
Lumecca,Lumecca 光子嫩肤,450
VBeam Lasers,VBeam 脉冲染料激光,500
TriLift,TriLift 三重提升,900
Thermage,Thermage 热玛吉,1200
Ultherapy,Ultherapy 超声刀,2500
HydraFacial,HydraFacial 水光焕肤,200
Mesotherapy,美塑疗法,300
Beauty Booster,美丽助推器,350
Bela MD,Bela MD 面部护理,250
Chemical Peel,化学换肤,150
Splendor X,Splendor X 激光脱毛,400
EMSculpt NEO,EMSculpt NEO 肌肉塑形,800
Body Contouring,身体轮廓塑造,600
BTL EMSELLA,BTL EMSELLA 盆底肌修复,300
Plus 90 Feminine Wellness,Plus 90 女性健康,500
Vaginal Rejuvenation,阴道焕发活力,700
Eyebrows,眉毛,500
Lips,嘴唇,400
Hairline,发际线,600
HydraFacial Scalp Cleaning,HydraFacial 头皮清洁,150
Hair Restoration,头发修复,800
Hand Treatment,手部护理,200
Snoring Treatment,打鼾治疗,400
Massage,按摩,100
Acupuncture,针灸,85 